hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
0ef68fc7aa6f2bc7fb74ada9d865da06,depots1_v01a.shuffled-as.sat05-4013.cnf,sat,sat,0.062,0.26,0.669,0.04,2.105,3.206
0f2485d8cdb1178561229aac4b7d9c7a,prime2209-90.cnf,sat,sat,18.307,34.585,4.384,2.895,9.826,37.139
0f27eae382e7dcd8fd956ab914083a29,AProVE11-12.cnf,sat,sat,21.184,57.288,2.932,2.578,8.267,37.421
0f4576a6e7399336e11f0828d32263dd,3col100_5_1.shuffled.cnf,sat,sat,1.022,0.312,0.668,0.058,1.871,4.365
0f4911e1180b80b45e9db7ec5e73eb66,hcp_CP16_16.cnf,sat,sat,10000.0,10000.0,2778.021,176.441,685.028,10000.0
0f58a7071d2f55a22c5aa62c42e26675,mp1-21.3.cnf,sat,sat,31.353,328.791,20.25,10.646,37.031,10000.0
0f756b788718d677f0fc3f0fa0989498,iso-brn008.shuffled-as.sat05-2702.cnf,sat,sat,6.88,5.782,0.968,0.436,4.656,3.004
0fa9521ff633b27be11525a7b0f7d8b6,jgiraldezlevy.2200.9086.08.40.41.cnf,sat,sat,416.885,1707.465,93.237,50.052,42.217,790.04
0ff0fc8ef80d32742d38231869d5d244,59-131147.cnf,sat,sat,662.628,634.63,75.793,293.926,10000.0,446.889
10006cfd243f7851022bc69250862357,aaai10-planning-ipc5-pipesworld-18-step16.cnf,sat,sat,27.948,61.009,18.302,28.396,491.31,162.615
10253f0a4b37654146aaf73a9fbbd929,complete-500-0.1-15-98765432150015.cnf,sat,sat,19.998,30.555,0.969,8.376,3.798,81.443
106e5cdfbb722dda0d795c087a13d9c6,ndist.b.20499.cnf,sat,sat,797.136,176.48,2.888,1.649,6.569,41.234
107deb612f9f837acc53383e522196ae,frb56-25-1.used-as.sat04-889.cnf,unknown,sat,1564.082,10000.0,58.992,10000.0,10000.0,10000.0
10a553afab3c4406968b1f6b3abfcfcd,gensys-brn100.shuffled-as.sat05-3765.cnf,sat,sat,33.826,61.323,2.171,0.952,26.232,5.987
10b246af85ac9f0a525e5d50fab31d2a,satellite3_v01a.shuffled-as.sat05-4056.cnf,sat,sat,0.7,1.764,0.667,0.065,1.314,4.59
10b350de2bd98589f455af8ae8f7d398,12pipe_bug4_q0.cnf,sat,sat,71.802,291.082,9.295,39.178,17.967,312.849
10b460a4da6a4e199e946788a374032b,HCP-470-60.cnf,sat,sat,10000.0,10000.0,225.392,1065.068,10000.0,10000.0
10c4c8bce4651cd5ae01eb7a62c69b95,ex175_18-sc2018.cnf,sat,sat,10000.0,10000.0,1416.961,1982.67,10000.0,10000.0
